policy,sensitivity,emissions,nna
"SIRS ≥ 2 (Temp, HR, RR, WBC)",0.7854640980735552,191294,213.2597547380156
NEWS2 ≥ 5 (consciousness omitted),0.7600700525394045,141629,163.16705069124424
Partial qSOFA ≥ 2 (RR and SBP; GCS omitted),0.2486865148861646,22068,77.70422535211267
Threshold-only partial SOFA,0.7950963222416813,311797,343.3887665198238
Governed partial SOFA (any emit),0.7950963222416813,159933,176.1376651982379
Interruptive governed lane,0.3397548161120841,41158,106.07731958762886
